calle_lev,edad,origen,destino,motivo_viaje,motivo_dejar_bici,robado_bici,robo_forma,sexo,educacion,ingreso_mensual
REFORMA,14,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,No,,Hombre,Secundaria,">1,000"
LAGUNA DE MAYRAN,18,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Ningún motivo,No,,Hombre,Preparatoria o Bachillerato,No contestó
SCHILLER,25,Hogar,Otro,Recreación,Ningún motivo,Sí,Estacionada,Hombre,Licenciatura,No contestó
REFORMA,34,Trabajo,Trabajo,Relacionado con el trabajo,Recorrido muy largo,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,">1,000"
MIHUEL HIDALGO,30,Hogar,Trabajo,Ir al trabajo,Ningún motivo,Sí,Estacionada,Hombre,Maestría,"<15,001"
FRAY SERVANDO TERESA DE MIER,73,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,No contestó
FRAY SERVANDO TERESA DE MIER,38,Otro,Hogar,Regreso a casa,Ningún motivo,No,,Hombre,Primaria,"1,001-3,000"
AV. REVOLUCION,20,Hogar,Trabajo,Ir al trabajo,Ningún motivo,Sí,Estacionada,Hombre,Primaria,"6,001-10,000"
VA. MIGUEL HIDALGO,26,Hogar,Otro,Recreación,Inseguridad,No,,Hombre,Licenciatura,"6,001-10,000"
AV MIGUEL HIDALGO,40,Trabajo,Hogar,Regreso a casa,Ningún motivo,No,,Mujer,Preparatoria o Bachillerato,"6,001-10,000"
VA MIGUEL HIDALGO,41,Trabajo,Hogar,Regreso a casa,Falta de infraestructura,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
AV. LUIS DELGADO,35,Otro,"Restaurante, bar, cafetería",Relacionado con el trabajo,Fala mecánica de bici,No,,Mujer,Primaria,No contestó
FRANCISCO JIMENEZ,36,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Secundaria,"1,001-3,000"
CALZADA DE LAS BOMBAS,20,Hogar,Escuela,Ir a estudiar,Llevar prisa,Sí,Estacionada,Hombre,Licenciatura,"1,001-3,000"
AV. CANAL DE MIRAMONTES,67,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Primaria,No contestó
AV. CANAL DE MIRAMONTES,37,Otra vivienda,Hogar,Regreso a casa,Recorrido muy largo,No,,Mujer,Secundaria,"3,001-6,000"
MANUEL SAENZ,21,Hogar,Escuela,Ir a estudiar,Recorrido muy largo,No,,Hombre,Secundaria,No contestó
BUCARELI,23,Hogar,Trabajo,Ir al trabajo,Inseguridad,No,,Hombre,Licenciatura,"3,001-6,000"
20 DE NOVIEMBRE,24,Trabajo,Trabajo,Ir al trabajo,Inseguridad,No,,Hombre,Carrera Técnica,"1,001-3,000"
AV LOMA DE LA PALMA,22,Trabajo,Hogar,Regreso a casa,Cambio de trabajo,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
SAN GUILLERMO,19,Hogar,Otra vivienda,Ir de visita,Clima,No,,Mujer,Preparatoria o Bachillerato,"1,001-3,000"
REY NEZAHUALCOYOTL,24,Trabajo,Trabajo,Ir al trabajo,Fala mecánica de bici,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,">1,000"
SANTA ANA,18,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Secundaria,">1,000"
REY NEZAHUALCOYOTL,23,Hogar,Trabajo,Ir al trabajo,Cambio de trabajo,No,,Hombre,Secundaria,">1,000"
CALZADA TAXQUEÑA,28,Trabajo,Hogar,Regreso a casa,Fala mecánica de bici,No,,Hombre,Secundaria,"3,001-6,000"
AV. CERRO DE LAS TORRES,43,Trabajo,"Centro comercial, tienda, mercado",Hacer compras,Cambio de trabajo,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
AV. CERRO DE LAS TORRES,17,Trabajo,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,No,,Hombre,Secundaria,"1,001-3,000"
AV. CERRO DE LAS TORRES,38,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
AV. PEDRO ENRIQUE UREÑA,28,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Mujer,Secundaria,"1,001-3,000"
AV. PEDRO ENRIQUE UREÑA,35,Hogar,Trabajo,Ir al trabajo,Inseguridad,No sabe,,Mujer,Secundaria,"3,001-6,000"
AV. CERRO DE LAS TORRES,36,Hogar,Trabajo,Ir al trabajo,Cambio de trabajo,Sí,Estacionada,Hombre,Primaria,"1,001-3,000"
AV JOSE MARIA CASTORENA,23,Trabajo,Escuela,Ir a estudiar,Inseguridad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,No contestó
AV RICARDO FLORES MAGON,50,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
JACARANDAS,18,Trabajo,Hogar,Regreso a casa,Inseguridad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
FEBO,42,Trabajo,Trabajo,Relacionado con el trabajo,Lesión o incapacidad,No,,Hombre,Secundaria,"3,001-6,000"
EXTREMADURA,45,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Preparatoria o Bachillerato,"10,001-15000"
AV PATROTISMO,26,Hogar,Trabajo,Ir al trabajo,Llevar prisa,No,,Mujer,Licenciatura,No contestó
AV RICARDO FLORES MAGON,30,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Carrera Técnica,"6,001-10,000"
JUVENTINO ROSAS,51,Trabajo,Otro,Relacionado con el trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Ninguno,No contestó
LERDO,27,Otro,Trabajo,Relacionado con el trabajo,Fala mecánica de bici,Sí,Estacionada,Hombre,Primaria,No contestó
JOSE SOTERO CASTAÑEDA,18,Trabajo,Hogar,Regreso a casa,Ningún motivo,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
LERDO,19,Trabajo,Otra vivienda,Ir de visita,Inseguridad,Sí,Estacionada,Hombre,Primaria,"3,001-6,000"
MOSQUETA,25,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Mujer,Licenciatura,"3,001-6,000"
DZITAS,55,Otro,Hogar,Recreación,Lesión o incapacidad,No,,Hombre,Preparatoria o Bachillerato,"<15,001"
TENORIOS,29,Hogar,Trabajo,Ir al trabajo,Inseguridad,Sí,Estacionada,Hombre,Primaria,"3,001-6,000"
CORREGIDORA,59,Hogar,Otra vivienda,Ir de visita,Lesión o incapacidad,No,,Hombre,Secundaria,"1,001-3,000"
CAMINO VIEJO A SAN PABLO,30,Trabajo,Hogar,Ir al trabajo,Fala mecánica de bici,No,,Hombre,Secundaria,"1,001-3,000"
CARRETERA MEX- CUERNAVACA,18,Otro,Hogar,Regreso a casa,Fala mecánica de bici,No,,Hombre,Secundaria,">1,000"
ARENAL,27,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Licenciatura,No contestó
ARENAL,20,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Carrera Técnica,"3,001-6,000"
BOULEVARD PICACHO AJUSCO Y TIZIMIN,41,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,En movimiento,Mujer,Primaria,"1,001-3,000"
AV. UNION,59,Trabajo,Hogar,Regreso a casa,Recorrido muy largo,Sí,En movimiento,Hombre,Primaria,"1,001-3,000"
JOSE LOPEZ PORTILLO,44,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,"3,001-6,000"
JOSE LOPEZ PORTILLO,16,Hogar,Otro,Recreación,Fala mecánica de bici,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
CAMINO REAL,18,Escuela,Hogar,Regreso a casa,Clima,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,No contestó
CECILIO ROBELO,43,Trabajo,Hogar,Regreso a casa,Inseguridad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,No contestó
ERNESTO P URUCHURTI,56,"Centro comercial, tienda, mercado",Hogar,Relacionado con el trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Maestría,"3,001-6,000"
IGNACIO ZARAGOZA,20,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Llevar prisa,Sí,Estacionada,Hombre,Secundaria,No contestó
FRANCISCO MORAZAN,29,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
DR. JUAN PALOMO MARTINEZ,28,Hogar,Escuela,Ir a estudiar,No haya bici disponible,No,,Hombre,Licenciatura,"3,001-6,000"
MONTES DE LA CORDILLERA,43,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Fala mecánica de bici,No,,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
MORENA ACUEDUCTO,18,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Ningún motivo,Sí,Estacionada,Hombre,Secundaria,No contestó
SAN RAFAEL ATLIXCO,19,Hogar,Trabajo,Ir al trabajo,Clima,Sí,En movimiento,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
AGRICULTURA,28,Hogar,Escuela,Ir de visita,Fala mecánica de bici,No,,Mujer,Secundaria,">1,000"
LA MORENA ACUEDUCTO,33,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Ningún motivo,No,,Mujer,Secundaria,"1,001-3,000"
CUITLAHUAC,44,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Secundaria,"3,001-6,000"
TENOCHTITLAN,33,Otra vivienda,Otro,Ir a comer,Clima,No,,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
AV. DE LAS TORRES,38,Escuela,Trabajo,Ir al trabajo,Clima,Sí,No contestó,Hombre,Secundaria,"1,001-3,000"
TENOCHTITLAN,45,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Clima,No,,Hombre,Carrera Técnica,"1,001-3,000"
AV TAHEL,26,Trabajo,Hogar,Regreso a casa,Cambio de trabajo,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
GALINDO VILLA IZTACCIHUATL,24,Hogar,Otro,Recreación,Inseguridad,No,,Hombre,Licenciatura,"6,001-10,000"
ANILLO PERIFERICO,52,Trabajo,Hogar,Regreso a casa,Ningún motivo,No,,Hombre,Secundaria,"3,001-6,000"
JARDIN XITLE,35,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,No,,Mujer,Secundaria,"3,001-6,000"
AV. MEXICO AJUSCO,36,Hogar,Trabajo,Ir al trabajo,Ningún motivo,No,,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
AJUSCO PICACHO,42,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Mujer,Secundaria,"1,001-3,000"
AJUSCO PICACHO,19,Hogar,Otra vivienda,Ir de visita,Fala mecánica de bici,No,,Hombre,Secundaria,"1,001-3,000"
ANILLO PERIFERICO,52,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Secundaria,"1,001-3,000"
ANILLO PERIFERICO,28,Escuela,Trabajo,Ir al trabajo,No sé,Sí,Estacionada,Hombre,Licenciatura,"3,001-6,000"
JOSEFA ORTIZ DE DOMINGUEZ,46,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Mujer,Preparatoria o Bachillerato,No contestó
JOSEFA ORTIZ DE DOMINGUEZ,24,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Secundaria,No contestó
AV CAMINO NATIVITAS,30,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,">1,000"
AV 16 DE SEPTIEMBRE,19,"Centro comercial, tienda, mercado",Hogar,Hacer compras,Clima,Sí,No contestó,Mujer,Secundaria,No contestó
AV CAMINO NATIVITAS,45,Trabajo,Hogar,Hacer compras,Clima,Sí,En movimiento,Hombre,Secundaria,"1,001-3,000"
CARRETERA A SAN PABLO,24,Otra vivienda,Hogar,Regreso a casa,Ningún motivo,No,,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
CARRETERA A TOPILEJO,67,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Secundaria,No contestó
BENITO JUAREZ,35,Hogar,Otro,Relacionado con el trabajo,Fala mecánica de bici,No,,Hombre,Secundaria,"3,001-6,000"
PASEO DEL PEDREGAL,26,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Primaria,"3,001-6,000"
CAMINO REAL A TOLUCA,32,Trabajo,Hogar,Ir al trabajo,Inseguridad,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
SAN JERONIMO,58,Trabajo,"Centro comercial, tienda, mercado",Hacer compras,No haya bici disponible,No,,Hombre,Primaria,"10,001-15000"
JERUSALEN,40,Trabajo,Hogar,Regreso a casa,Inseguridad,Sí,Estacionada,Hombre,Licenciatura,"3,001-6,000"
JERUSALEN,70,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Fala mecánica de bici,Sí,Estacionada,Mujer,Ninguno,"3,001-6,000"
CAMARONES,20,Hogar,Trabajo,Ir al trabajo,Fala mecánica de bici,No,,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
JERUSALEN,35,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,No,,Hombre,Preparatoria o Bachillerato,"10,001-15000"
AV. JARDIN,22,Trabajo,Otro,Relacionado con el trabajo,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
AV. JARDIN,13,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Ningún motivo,Sí,En movimiento,Hombre,Secundaria,"6,001-10,000"
CALZADA CAMARONES,34,Trabajo,Otro,Relacionado con el trabajo,Lesión o incapacidad,No,,Hombre,Preparatoria o Bachillerato,">1,000"
ISABEL LA CATOLICA,52,Trabajo,Otro,Hacer compras,Ningún motivo,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
SAN FRANCISCO,23,Hogar,Trabajo,Ir al trabajo,Recorrido muy largo,No,,Mujer,Preparatoria o Bachillerato,"3,001-6,000"
FRANCISCO MORAZAN,28,Hogar,Trabajo,Ir al trabajo,Clima,Sí,En movimiento,Mujer,Preparatoria o Bachillerato,No contestó
FRANCISCO MORAZAN,48,Hogar,Trabajo,Ir al trabajo,Llevar prisa,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"6,001-10,000"
AV 506,60,Trabajo,"Centro comercial, tienda, mercado",Hacer compras,Cambio de trabajo,Sí,Estacionada,Hombre,Carrera Técnica,"6,001-10,000"
FRANCISCO MORAZAN,61,Hogar,Otro,Relacionado con el trabajo,Lesión o incapacidad,No,,Hombre,Primaria,"1,001-3,000"
SANTIAGO ATEPETLAC,25,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"1,001-3,000"
SANTIAGO ATEPETLAC,19,"Centro comercial, tienda, mercado",Hogar,Regreso a casa,Lesión o incapacidad,No,,Mujer,Preparatoria o Bachillerato,"3,001-6,000"
SANTIAGO ATEPETLAC,61,Hogar,Trabajo,Ir al trabajo,Lesión o incapacidad,No,,Hombre,Primaria,"1,001-3,000"
OTHON DE MENDIZABAL OTE,76,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,No,,Hombre,Primaria,"3,001-6,000"
SANTIAGO ATEPETLAC,55,Hogar,Otra vivienda,Ir de visita,Lesión o incapacidad,No,,Hombre,Secundaria,No contestó
MIGUEL LERDO DE TEJADA,34,Trabajo,Trabajo,Relacionado con el trabajo,Cambio de trabajo,No,,Hombre,Primaria,"3,001-6,000"
MIGUEL LERDO DE TEJADA,25,Otra vivienda,Hogar,Regreso a casa,Inseguridad,No,,Hombre,Secundaria,"6,001-10,000"
LAZARO CARDENAS,46,Hogar,Trabajo,Ir al trabajo,Inseguridad,Sí,Estacionada,Hombre,Secundaria,"1,001-3,000"
JOSE LORETO FABELA,45,Escuela,Hogar,Regreso a casa,No sé,No,,Mujer,Secundaria,"3,001-6,000"
ACUEDUCTO DE GUADALUPE,21,Escuela,Hogar,Regreso a casa,Recorrido muy largo,No contestó,,,No contestó,No contestó
FERNANDO AMILPA,69,"Centro comercial, tienda, mercado",Hogar,Hacer compras,Lesión o incapacidad,No,,Hombre,Licenciatura,"10,001-15000"
CALZADA SAN JUAN DE ARAGON,53,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"<15,001"
FERROCARRIL HIDALGO HIDALGO,31,Hogar,Otra vivienda,Ir de visita,Lesión o incapacidad,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
CALZADA SAN JUAN DE ARAGON,59,Hogar,Otro,Trámite,Ningún motivo,Sí,En movimiento,Hombre,Licenciatura,No contestó
EMILIANO ZAPATA,36,Hogar,Trabajo,Ir al trabajo,Fala mecánica de bici,Sí,Estacionada,Hombre,Primaria,"3,001-6,000"
EMILIANO ZAPATA,49,Trabajo,Trabajo,Ir al trabajo,Cambio de trabajo,No,,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
DARIO FERNANDEZ,55,Otro,Hogar,Regreso a casa,Recorrido muy largo,Sí,Estacionada,Hombre,Preparatoria o Bachillerato,"3,001-6,000"
JAIME NUNO,82,Hogar,Otro,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Primaria,"1,001-3,000"
LAZARO CARDENAS,77,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Lesión o incapacidad,Sí,Estacionada,Hombre,Primaria,"6,001-10,000"
LAZARO CARDENAS,14,Trabajo,Hogar,Regreso a casa,Cambio de trabajo,Sí,Estacionada,Hombre,Ninguno,">1,000"
LAZARO CARDENAS,61,Hogar,Trabajo,Ir al trabajo,Fala mecánica de bici,No,,Hombre,Secundaria,"3,001-6,000"
LAZARO CARDENAS,53,Hogar,"Centro comercial, tienda, mercado",Hacer compras,Recorrido muy largo,No,,Mujer,Licenciatura,"10,001-15000"
LAZARO CARDENAS,42,Hogar,Trabajo,Ir al trabajo,Fala mecánica de bici,Sí,En movimiento,Hombre,Carrera Técnica,"1,001-3,000"
LEON DE LOS ALDAMA,50,Trabajo,Hogar,Regreso a casa,Lesión o incapacidad,Sí,Estacionada,Hombre,Normal,"1,001-3,000"
