folio,fecha_creacion,hora_creacion,dia_semana,codigo_cierre,fecha_cierre,año_cierre,mes_cierre,hora_cierre,delegacion_inicio,incidente_c4,latitud,longitud,clas_con_f_alarma,tipo_entrada,delegacion_cierre,geopoint,mes
C5/191025/07135,25/10/2019,19:58:05,Viernes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",25/10/2019,2019,Octubre,21:18:42,GUSTAVO A. MADERO,accidente-ciclista,19.47562002,-99.11108988,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,"19.47562002,-99.11108988",10
C5/191025/04771,25/10/2019,15:14:28,Viernes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",25/10/2019,2019,Octubre,15:16:20,BENITO JUAREZ,accidente-ciclista,19.37379996,-99.17907012,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.37379996,-99.17907012",10
C5/191025/06773,25/10/2019,19:16:47,Viernes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",25/10/2019,2019,Octubre,19:18:45,CUAUHTEMOC,accidente-ciclista,19.41589108,-99.15362135,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.41589108,-99.15362135",10
C5/191026/06353,26/10/2019,16:12:52,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",26/10/2019,2019,Octubre,16:16:52,ALVARO OBREGON,accidente-ciclista,19.34767167,-99.23237131,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.34767167,-99.23237131",10
C5/191026/04929,26/10/2019,13:27:37,Sábado,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",26/10/2019,2019,Octubre,14:07:10,COYOACAN,accidente-ciclista,19.32805998,-99.15549012,URGENCIAS MEDICAS,LLAMADA APP911,COYOACAN,"19.32805998,-99.15549012",10
C5/191026/07970,26/10/2019,19:33:16,Sábado,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",26/10/2019,2019,Octubre,20:01:53,IZTAPALAPA,accidente-ciclista,19.35719001,-99.08732016,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.35719001,-99.08732016",10
C5/191028/01753,28/10/2019,08:20:45,Lunes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",28/10/2019,2019,Octubre,08:24:24,GUSTAVO A. MADERO,accidente-ciclista,19.49463,-99.09159012,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,"19.49463,-99.09159012",10
C5/191028/02792,28/10/2019,10:48:48,Lunes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",28/10/2019,2019,Octubre,13:45:01,CUAUHTEMOC,accidente-ciclista,19.43684001,-99.13366008,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,"19.43684001,-99.13366008",10
C5/191028/04323,28/10/2019,14:09:36,Lunes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",28/10/2019,2019,Octubre,14:11:18,COYOACAN,accidente-ciclista,19.33769997,-99.12269988,URGENCIAS MEDICAS,LLAMADA DEL 911,COYOACAN,"19.33769997,-99.12269988",10
C5/191028/08197,28/10/2019,22:56:34,Lunes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",28/10/2019,2019,Octubre,23:07:40,AZCAPOTZALCO,accidente-ciclista,19.49617998,-99.19931004,URGENCIAS MEDICAS,LLAMADA DEL 911,AZCAPOTZALCO,"19.49617998,-99.19931004",10
C5/191001/04616,01/10/2019,15:33:15,Martes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",01/10/2019,2019,Octubre,17:15:12,CUAUHTEMOC,accidente-ciclista,19.42324002,-99.15166008,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42324002,-99.15166008",10
C5/191001/02526,01/10/2019,10:54:59,Martes,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",01/10/2019,2019,Octubre,11:30:44,IZTAPALAPA,accidente-ciclista,19.38025998,-99.10154016,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.38025998,-99.10154016",10
C5/191001/02656,01/10/2019,11:13:09,Martes,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",01/10/2019,2019,Octubre,11:39:44,IZTAPALAPA,accidente-ciclista,19.38203001,-99.07949988,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.38203001,-99.07949988",10
C5/191003/06539,03/10/2019,19:39:45,Jueves,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",03/10/2019,2019,Octubre,19:58:43,CUAUHTEMOC,accidente-ciclista,19.41980004,-99.13808988,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.41980004,-99.13808988",10
C5/191003/06271,03/10/2019,19:06:38,Jueves,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",03/10/2019,2019,Octubre,19:48:40,CUAUHTEMOC,accidente-ciclista,19.42379001,-99.16761996,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42379001,-99.16761996",10
C5/191004/01328,04/10/2019,09:38:58,Viernes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",04/10/2019,2019,Octubre,09:44:31,VENUSTIANO CARRANZA,accidente-ciclista,19.43943003,-99.11301012,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,"19.43943003,-99.11301012",10
C5/191004/02880,04/10/2019,14:05:29,Viernes,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",04/10/2019,2019,Octubre,14:16:08,IZTAPALAPA,accidente-ciclista,19.37259,-99.13524012,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.37259,-99.13524012",10
C5/191005/04405,05/10/2019,12:07:46,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,12:09:07,ALVARO OBREGON,accidente-ciclista,19.37293002,-99.26309016,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.37293002,-99.26309016",10
C5/191005/07308,05/10/2019,18:04:19,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,18:10:57,IZTACALCO,accidente-ciclista,19.41433002,-99.05862996,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,"19.41433002,-99.05862996",10
C5/191005/09180,05/10/2019,21:33:12,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,21:40:51,TLALPAN,accidente-ciclista,19.29015999,-99.13956984,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,"19.29015999,-99.13956984",10
C5/191005/03452,05/10/2019,09:53:58,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,10:02:36,IZTACALCO,accidente-ciclista,19.408425,-99.092705,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,"19.408425,-99.092705",10
C5/191005/08394,05/10/2019,20:07:53,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,20:10:41,TLALPAN,accidente-ciclista,19.28177001,-99.18939996,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,"19.28177001,-99.18939996",10
C5/191005/08503,05/10/2019,20:20:15,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,20:27:37,TLALPAN,accidente-ciclista,19.28202003,-99.18955008,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,"19.28202003,-99.18955008",10
C5/191005/07285,05/10/2019,18:01:18,Sábado,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",05/10/2019,2019,Octubre,19:23:57,IZTACALCO,accidente-ciclista,19.41398001,-99.05866992,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,"19.41398001,-99.05866992",10
C5/191005/04211,05/10/2019,11:41:14,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,11:47:07,ALVARO OBREGON,accidente-ciclista,19.374916,-99.260643,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.374916,-99.260643",10
C5/191005/08447,05/10/2019,20:15:03,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,20:18:07,TLALPAN,accidente-ciclista,19.28177001,-99.18939996,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,"19.28177001,-99.18939996",10
C5/191005/06766,05/10/2019,16:55:34,Sábado,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",05/10/2019,2019,Octubre,17:11:40,IZTAPALAPA,accidente-ciclista,19.34684001,-98.99699004,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.34684001,-98.99699004",10
C5/191005/04506,05/10/2019,12:21:07,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",05/10/2019,2019,Octubre,12:24:15,CUAJIMALPA,accidente-ciclista,19.37187999,-99.26537004,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.37187999,-99.26537004",10
C5/191006/05350,06/10/2019,13:07:01,Domingo,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",06/10/2019,2019,Octubre,13:20:48,VENUSTIANO CARRANZA,accidente-ciclista,19.40522004,-99.12582,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,"19.40522004,-99.12582",10
C5/191005/10888,05/10/2019,23:57:49,Sábado,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",06/10/2019,2019,Octubre,00:57:10,CUAUHTEMOC,accidente-ciclista,19.41492996,-99.16434,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.41492996,-99.16434",10
C5/191007/04743,07/10/2019,15:49:30,Lunes,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",07/10/2019,2019,Octubre,15:53:05,CUAUHTEMOC,accidente-ciclista,19.42635996,-99.13736016,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.42635996,-99.13736016",10
C5/191007/06705,07/10/2019,20:18:35,Lunes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",07/10/2019,2019,Octubre,20:34:22,CUAUHTEMOC,accidente-ciclista,19.40830002,-99.16170984,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.40830002,-99.16170984",10
C5/191008/06441,08/10/2019,20:13:53,Martes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",08/10/2019,2019,Octubre,20:58:12,BENITO JUAREZ,accidente-ciclista,19.38341997,-99.18275004,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.38341997,-99.18275004",10
C5/191008/05818,08/10/2019,18:46:42,Martes,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",08/10/2019,2019,Octubre,19:08:37,TLAHUAC,accidente-ciclista,19.28813004,-99.04608,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,"19.28813004,-99.04608",10
C5/191009/04841,09/10/2019,16:26:38,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",09/10/2019,2019,Octubre,17:57:20,BENITO JUAREZ,accidente-ciclista,19.39091004,-99.17352,URGENCIAS MEDICAS,LLAMADA DEL 911,BENITO JUAREZ,"19.39091004,-99.17352",10
C5/191009/07769,09/10/2019,22:50:11,Miércoles,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",09/10/2019,2019,Octubre,23:19:34,MIGUEL HIDALGO,accidente-ciclista,19.43154,-99.20994984,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,"19.43154,-99.20994984",10
C5/191009/01361,09/10/2019,08:15:14,Miércoles,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",09/10/2019,2019,Octubre,09:51:40,CUAUHTEMOC,accidente-ciclista,19.43265996,-99.15999984,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,"19.43265996,-99.15999984",10
C5/191009/07699,09/10/2019,22:38:14,Miércoles,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",10/10/2019,2019,Octubre,01:24:23,IZTAPALAPA,accidente-ciclista,19.339602,-98.97644,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,"19.339602,-98.97644",10
C5/191010/06050,10/10/2019,18:15:47,Jueves,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",10/10/2019,2019,Octubre,18:22:00,TLAHUAC,accidente-ciclista,19.31021001,-99.04779,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,"19.31021001,-99.04779",10
C5/191010/06002,10/10/2019,18:08:47,Jueves,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",10/10/2019,2019,Octubre,18:55:57,TLAHUAC,accidente-ciclista,19.30374,-99.05303988,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,"19.30374,-99.05303988",10
C5/191011/02154,11/10/2019,09:32:41,Viernes,"(A) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos y confirmó la emergencia reportada",11/10/2019,2019,Octubre,11:11:04,VENUSTIANO CARRANZA,accidente-ciclista,19.44101997,-99.11779992,URGENCIAS MEDICAS,LLAMADA DEL 911,VENUSTIANO CARRANZA,"19.44101997,-99.11779992",10
C5/191012/05231,12/10/2019,14:26:24,Sábado,"(N) La unidad de atención a emergencias fue despachada, llegó al lugar de los hechos, pero en el sitio del evento nadie solicitó el apoyo de la unidad",12/10/2019,2019,Octubre,14:44:42,TLAHUAC,accidente-ciclista,19.29456999,-99.05304996,URGENCIAS MEDICAS,LLAMADA DEL 911,TLAHUAC,"19.29456999,-99.05304996",10
C5/191012/05981,12/10/2019,15:56:01,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",12/10/2019,2019,Octubre,16:00:21,ALVARO OBREGON,accidente-ciclista,19.34103996,-99.20656008,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.34103996,-99.20656008",10
C5/191012/06384,12/10/2019,16:39:25,Sábado,"(D) El incidente reportado se registró en dos o más ocasiones procediendo a mantener un único reporte (afirmativo, informativo, negativo o falso) como el identificador para el incidente",12/10/2019,2019,Octubre,16:44:29,ALVARO OBREGON,accidente-ciclista,19.33985997,-99.20802996,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,"19.33985997,-99.20802996",10
