calle_lev,edad,origen,destino,motivo_viaje,motivo_dejar_bici,robado_bici,robo_forma,sexo,educacion,ingreso_mensual
FRANCISCO JIMENEZ,36,2,1,2,Lesión o incapacidad,No,,Hombre,4,2
CALZADA DE LAS BOMBAS,20,1,3,3,Llevar prisa,Sí,Estacionada,Hombre,8,2
AV. CANAL DE MIRAMONTES,67,1,2,1,Lesión o incapacidad,No,,Hombre,3,9
AV. CANAL DE MIRAMONTES,37,5,1,2,Recorrido muy largo,No,,Mujer,4,3
MANUEL SAENZ,21,1,3,3,Recorrido muy largo,No,,Hombre,4,9
BUCARELI,23,1,2,1,Inseguridad,No,,Hombre,8,3
20 DE NOVIEMBRE,24,2,2,1,Inseguridad,No,,Hombre,7,2
AV LOMA DE LA PALMA,22,2,1,2,Cambio de trabajo,Sí,Estacionada,Hombre,5,3
SAN GUILLERMO,19,1,5,10,Clima,No,,Mujer,5,2
REY NEZAHUALCOYOTL,24,2,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,5,1
SANTA ANA,18,1,2,1,Ningún motivo,No,,Hombre,4,1
REY NEZAHUALCOYOTL,23,1,2,1,Cambio de trabajo,No,,Hombre,4,1
CALZADA TAXQUEÑA,28,2,1,2,Fala mecánica de bici,No,,Hombre,4,3
AV. CERRO DE LAS TORRES,43,2,4,4,Cambio de trabajo,Sí,Estacionada,Hombre,4,3
AV. CERRO DE LAS TORRES,17,2,4,4,Lesión o incapacidad,No,,Hombre,4,2
AV. CERRO DE LAS TORRES,38,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
AV. PEDRO ENRIQUE UREÑA,28,2,1,2,Lesión o incapacidad,No,,Mujer,4,2
AV. PEDRO ENRIQUE UREÑA,35,1,2,1,Inseguridad,No sabe,,Mujer,4,3
AV. CERRO DE LAS TORRES,36,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,3,2
AV JOSE MARIA CASTORENA,23,2,3,3,Inseguridad,Sí,Estacionada,Hombre,5,9
AV RICARDO FLORES MAGON,50,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
JACARANDAS,18,2,1,2,Inseguridad,Sí,Estacionada,Hombre,5,2
FEBO,42,2,2,8,Lesión o incapacidad,No,,Hombre,4,3
EXTREMADURA,45,1,2,1,Ningún motivo,No,,Hombre,5,5
AV PATROTISMO,26,1,2,1,Llevar prisa,No,,Mujer,8,9
AV RICARDO FLORES MAGON,30,1,2,1,Lesión o incapacidad,No,,Hombre,7,4
JUVENTINO ROSAS,51,2,7,8,Lesión o incapacidad,Sí,Estacionada,Hombre,1,9
LERDO,27,7,2,8,Fala mecánica de bici,Sí,Estacionada,Hombre,3,9
JOSE SOTERO CASTAÑEDA,18,2,1,2,Ningún motivo,Sí,Estacionada,Hombre,4,3
LERDO,19,2,5,10,Inseguridad,Sí,Estacionada,Hombre,3,3
MOSQUETA,25,2,1,2,Lesión o incapacidad,No,,Mujer,8,3
DZITAS,55,7,1,6,Lesión o incapacidad,No,,Hombre,5,6
TENORIOS,29,1,2,1,Inseguridad,Sí,Estacionada,Hombre,3,3
CORREGIDORA,59,1,5,10,Lesión o incapacidad,No,,Hombre,4,2
CAMINO VIEJO A SAN PABLO,30,2,1,1,Fala mecánica de bici,No,,Hombre,4,2
CARRETERA MEX- CUERNAVACA,18,7,1,2,Fala mecánica de bici,No,,Hombre,4,1
ARENAL,27,1,2,1,Ningún motivo,No,,Hombre,8,9
ARENAL,20,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,7,3
BOULEVARD PICACHO AJUSCO Y TIZIMIN,41,1,2,1,Lesión o incapacidad,Sí,En movimiento,Mujer,3,2
AV. UNION,59,2,1,2,Recorrido muy largo,Sí,En movimiento,Hombre,3,2
JOSE LOPEZ PORTILLO,44,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
JOSE LOPEZ PORTILLO,16,1,7,6,Fala mecánica de bici,Sí,Estacionada,Hombre,5,2
CAMINO REAL,18,3,1,2,Clima,Sí,Estacionada,Hombre,5,9
CECILIO ROBELO,43,2,1,2,Inseguridad,Sí,Estacionada,Hombre,5,9
ERNESTO P URUCHURTI,56,4,1,8,Lesión o incapacidad,Sí,Estacionada,Hombre,9,3
IGNACIO ZARAGOZA,20,4,1,2,Llevar prisa,Sí,Estacionada,Hombre,4,9
FRANCISCO MORAZAN,29,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
DR. JUAN PALOMO MARTINEZ,28,1,3,3,No haya bici disponible,No,,Hombre,8,3
MONTES DE LA CORDILLERA,43,1,4,4,Fala mecánica de bici,No,,Hombre,5,2
MORENA ACUEDUCTO,18,4,1,2,Ningún motivo,Sí,Estacionada,Hombre,4,9
SAN RAFAEL ATLIXCO,19,1,2,1,Clima,Sí,En movimiento,Hombre,5,2
AGRICULTURA,28,1,3,10,Fala mecánica de bici,No,,Mujer,4,1
LA MORENA ACUEDUCTO,33,1,4,4,Ningún motivo,No,,Mujer,4,2
CUITLAHUAC,44,2,1,2,Lesión o incapacidad,No,,Hombre,4,3
TENOCHTITLAN,33,5,7,7,Clima,No,,Hombre,5,4
AV. DE LAS TORRES,38,3,2,1,Clima,Sí,No contestó,Hombre,4,2
TENOCHTITLAN,45,4,1,2,Clima,No,,Hombre,7,2
AV TAHEL,26,2,1,2,Cambio de trabajo,No,,Hombre,5,3
GALINDO VILLA IZTACCIHUATL,24,1,7,6,Inseguridad,No,,Hombre,8,4
ANILLO PERIFERICO,52,2,1,2,Ningún motivo,No,,Hombre,4,3
JARDIN XITLE,35,1,4,4,Lesión o incapacidad,No,,Mujer,4,3
AV. MEXICO AJUSCO,36,1,2,1,Ningún motivo,No,,Hombre,5,2
AJUSCO PICACHO,42,1,2,1,Lesión o incapacidad,No,,Mujer,4,2
AJUSCO PICACHO,19,1,5,10,Fala mecánica de bici,No,,Hombre,4,2
ANILLO PERIFERICO,52,1,2,1,Lesión o incapacidad,No,,Hombre,4,2
ANILLO PERIFERICO,28,3,2,1,No sé,Sí,Estacionada,Hombre,8,3
JOSEFA ORTIZ DE DOMINGUEZ,46,1,2,1,Lesión o incapacidad,No,,Mujer,5,9
JOSEFA ORTIZ DE DOMINGUEZ,24,2,1,2,Lesión o incapacidad,No,,Hombre,4,9
AV CAMINO NATIVITAS,30,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,1
AV 16 DE SEPTIEMBRE,19,4,1,4,Clima,Sí,No contestó,Mujer,4,9
AV CAMINO NATIVITAS,45,2,1,4,Clima,Sí,En movimiento,Hombre,4,2
CARRETERA A SAN PABLO,24,5,1,2,Ningún motivo,No,,Hombre,5,2
CARRETERA A TOPILEJO,67,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,4,9
BENITO JUAREZ,35,1,7,8,Fala mecánica de bici,No,,Hombre,4,3
PASEO DEL PEDREGAL,26,2,1,2,Lesión o incapacidad,No,,Hombre,3,3
CAMINO REAL A TOLUCA,32,2,1,1,Inseguridad,No,,Hombre,5,3
SAN JERONIMO,58,2,4,4,No haya bici disponible,No,,Hombre,3,5
JERUSALEN,40,2,1,2,Inseguridad,Sí,Estacionada,Hombre,8,3
JERUSALEN,70,4,1,2,Fala mecánica de bici,Sí,Estacionada,Mujer,1,3
CAMARONES,20,1,2,1,Fala mecánica de bici,No,,Hombre,5,4
JERUSALEN,35,1,4,4,Lesión o incapacidad,No,,Hombre,5,5
AV. JARDIN,22,2,7,8,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
AV. JARDIN,13,1,4,4,Ningún motivo,Sí,En movimiento,Hombre,4,4
CALZADA CAMARONES,34,2,7,8,Lesión o incapacidad,No,,Hombre,5,1
ISABEL LA CATOLICA,52,2,7,4,Ningún motivo,Sí,Estacionada,Hombre,5,4
SAN FRANCISCO,23,1,2,1,Recorrido muy largo,No,,Mujer,5,3
FRANCISCO MORAZAN,28,1,2,1,Clima,Sí,En movimiento,Mujer,5,9
FRANCISCO MORAZAN,48,1,2,1,Llevar prisa,Sí,Estacionada,Hombre,5,4
AV 506,60,2,4,4,Cambio de trabajo,Sí,Estacionada,Hombre,7,4
FRANCISCO MORAZAN,61,1,7,8,Lesión o incapacidad,No,,Hombre,3,2
SANTIAGO ATEPETLAC,25,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,5,2
SANTIAGO ATEPETLAC,19,4,1,2,Lesión o incapacidad,No,,Mujer,5,3
SANTIAGO ATEPETLAC,61,1,2,1,Lesión o incapacidad,No,,Hombre,3,2
OTHON DE MENDIZABAL OTE,76,2,1,2,Lesión o incapacidad,No,,Hombre,3,3
SANTIAGO ATEPETLAC,55,1,5,10,Lesión o incapacidad,No,,Hombre,4,9
MIGUEL LERDO DE TEJADA,34,2,2,8,Cambio de trabajo,No,,Hombre,3,3
MIGUEL LERDO DE TEJADA,25,5,1,2,Inseguridad,No,,Hombre,4,4
LAZARO CARDENAS,46,1,2,1,Inseguridad,Sí,Estacionada,Hombre,4,2
JOSE LORETO FABELA,45,3,1,2,No sé,No,,Mujer,4,3
ACUEDUCTO DE GUADALUPE,21,3,1,2,Recorrido muy largo,No contestó,,,99,9
FERNANDO AMILPA,69,4,1,4,Lesión o incapacidad,No,,Hombre,8,5
CALZADA SAN JUAN DE ARAGON,53,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,5,6
FERROCARRIL HIDALGO HIDALGO,31,1,5,10,Lesión o incapacidad,Sí,Estacionada,Hombre,5,3
CALZADA SAN JUAN DE ARAGON,59,1,7,9,Ningún motivo,Sí,En movimiento,Hombre,8,9
EMILIANO ZAPATA,36,1,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,3,3
EMILIANO ZAPATA,49,2,2,1,Cambio de trabajo,No,,Hombre,5,3
DARIO FERNANDEZ,55,7,1,2,Recorrido muy largo,Sí,Estacionada,Hombre,5,3
JAIME NUNO,82,1,7,2,Lesión o incapacidad,Sí,Estacionada,Hombre,3,2
LAZARO CARDENAS,77,1,4,4,Lesión o incapacidad,Sí,Estacionada,Hombre,3,4
LAZARO CARDENAS,14,2,1,2,Cambio de trabajo,Sí,Estacionada,Hombre,1,1
LAZARO CARDENAS,61,1,2,1,Fala mecánica de bici,No,,Hombre,4,3
LAZARO CARDENAS,53,1,4,4,Recorrido muy largo,No,,Mujer,8,5
LAZARO CARDENAS,42,1,2,1,Fala mecánica de bici,Sí,En movimiento,Hombre,7,2
LEON DE LOS ALDAMA,50,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,6,2
LAZARO CARDENAS,16,1,2,1,Llevar prisa,Sí,Estacionada,Hombre,5,3
ACUEDUCTO DE GUADALUPE,20,3,1,2,Falta de infraestructura,No,,Hombre,5,2
DR. IGNACIO MORONES PRIETO,26,1,3,5,Clima,No,,Mujer,5,4
DR. IGNACIO MORONES PRIETO,31,1,2,1,Clima,No,,Hombre,5,3
REFORMA,22,2,2,8,Ningún motivo,Sí,Estacionada,Hombre,5,3
EDUARDO MOLINA,19,1,7,6,Lesión o incapacidad,No,,Hombre,5,9
LEON DE LOS ALDAMA,48,1,4,4,Clima,No,,Hombre,4,3
EDUARDO MOLINA,64,1,5,10,Fala mecánica de bici,Sí,Estacionada,Hombre,4,1
EDUARDO MOLINA,63,1,7,4,Lesión o incapacidad,No,,Hombre,5,3
EDUARDO MOLINA,69,1,7,4,Clima,No,,Hombre,4,2
REFORMA,26,2,2,8,Recorrido muy largo,No,,Hombre,5,4
REFORMA,24,2,1,2,Lesión o incapacidad,No,,Mujer,8,3
REFORMA,29,1,2,1,Fala mecánica de bici,No,,Hombre,8,4
AV 506,18,7,1,2,Falta de infraestructura,Sí,Estacionada,Hombre,5,1
AV TALISMAN,18,1,2,1,Fala mecánica de bici,No,,Hombre,4,2
AV TALISMAN,49,5,1,2,Lesión o incapacidad,Sí,En movimiento,Hombre,4,9
AV TALISMAN,32,1,4,4,Lesión o incapacidad,No,,Hombre,3,9
AV. CENTRAL,36,1,5,7,Ningún motivo,No,,Hombre,5,4
AV SUR,34,1,4,4,Falta de infraestructura,Sí,Estacionada,Hombre,8,3
CANAL DE SAN JUAN,37,3,2,1,Lesión o incapacidad,No,,Hombre,8,4
AV SUR 12,23,1,3,3,Lesión o incapacidad,No,,Hombre,5,9
ORIENTE 106,23,3,1,2,Ningún motivo,No,,Hombre,7,9
CONGRESO DE LA UNION,16,1,5,4,Recorrido muy largo,No,,Hombre,4,3
EMILIANO ZAPATA,31,1,2,1,Lesión o incapacidad,No,,Mujer,8,2
BATALLA DE CALPULALPAN,28,4,1,2,Cambio de trabajo,No,,Hombre,5,9
CARDIOLOGOS,47,1,3,3,Ningún motivo,No,,Mujer,4,3
EL VERGEL,48,3,1,2,Clima,No,,Mujer,7,3
EL VERGEL,26,3,1,2,Fala mecánica de bici,Sí,En movimiento,Hombre,8,3
AV BENITO JUAREZ,38,4,1,2,Fala mecánica de bici,No,,Mujer,5,3
AV. FRANCISCO TLALTENCO,45,2,1,2,Lesión o incapacidad,No,,Hombre,3,3
AV. FRANCISCO TLALTENCO,45,2,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
AVILA CAMACHO,50,2,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,4,4
AV. FRANCISCO TLALTENCO,75,2,1,2,Fala mecánica de bici,Sí,Estacionada,Hombre,1,3
CAMINO REAL A TOLUCA,48,2,2,8,Inseguridad,Sí,Estacionada,Hombre,4,3
SAN JERONIMO,34,1,2,1,Ningún motivo,No,,Mujer,8,6
AV. ISIDRO ALTO LERMA,26,7,1,2,Ningún motivo,Sí,Estacionada,Hombre,8,2
AV LAS AGUILAS,52,2,2,1,Clima,Sí,Estacionada,Hombre,4,3
AV. DE LAS CULTURAS,76,2,1,2,Lesión o incapacidad,Sí,En movimiento,Hombre,3,3
CALZADA DESIERTO DE LOS LEONES,43,1,3,3,Inseguridad,No,,Mujer,4,2
CAMINO A NEXTENGO,48,1,4,4,Fala mecánica de bici,Sí,Estacionada,Hombre,3,1
CAMINO A NEXTENGO,58,1,7,6,Fala mecánica de bici,No,,Hombre,4,3
FAJA DE ORO,29,2,1,2,No haya bici disponible,No,,Hombre,4,2
CAMINO A NEXTENGO,42,2,1,2,Lesión o incapacidad,No,,Hombre,7,3
FAJA DE ORO,27,2,4,4,Clima,No,,Hombre,4,9
SIMON BOLIVAR,45,1,2,1,Lesión o incapacidad,No,,Hombre,7,3
AV UNIVERSIDAD,38,1,4,4,Fala mecánica de bici,Sí,Estacionada,Hombre,8,9
SIMON BOLIVAR,41,2,1,2,Lesión o incapacidad,No,,Hombre,5,9
SIMON BOLIVAR,52,2,1,2,Lesión o incapacidad,No,,Hombre,3,9
AV UNIVERSIDAD,99,1,4,4,Ningún motivo,No,,Mujer,8,9
CALZADA ERMITA IZTAPALAPA,39,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,8,5
CAMARONES,44,2,1,2,Fala mecánica de bici,No,,Hombre,9,9
CAMARONES,26,2,1,2,Lesión o incapacidad,No,,Hombre,5,3
AV. JARDIN,45,1,7,6,Lesión o incapacidad,No,,Hombre,8,5
CALZADA CAMARONES,72,7,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,5,4
JERUSALEN,39,7,1,2,No haya bici disponible,Sí,Estacionada,Hombre,3,2
POSTA,32,2,1,2,Cambio de trabajo,No,,Hombre,4,3
AVENIDA TOLUCA,22,2,1,2,Cambio de trabajo,No,,Hombre,4,9
AV. DE LAS CULTURAS,33,1,2,1,Fala mecánica de bici,Sí,Estacionada,Hombre,5,4
EL ROSARIO,70,2,7,8,Lesión o incapacidad,No,,Hombre,3,9
AV. PEDRO ENRIQUE UREÑA,24,2,1,2,Lesión o incapacidad,No,,Hombre,5,4
CALCADA DE LAS BOMBAS,25,1,3,1,Llevar prisa,No,,Hombre,8,9
MANUEL SAENZ,35,1,2,1,Lesión o incapacidad,No,,Hombre,3,9
MANUEL SAENZ,53,1,2,1,Clima,Sí,Estacionada,Mujer,3,3
AV DR JESÚS MARÍA VERTIZ,33,1,7,4,Lesión o incapacidad,Sí,Estacionada,Mujer,8,4
ANEXAGORAS,38,2,2,8,Ningún motivo,Sí,Estacionada,Hombre,5,4
EXTREMADURA,52,2,1,2,Ningún motivo,No,,Hombre,3,3
ANAXAGORAS,37,4,2,8,Lesión o incapacidad,Sí,Estacionada,Hombre,4,3
EXTREMADURA,29,2,1,2,Lesión o incapacidad,No,,Hombre,5,3
AV PATRIOTISMO,30,7,1,2,Fala mecánica de bici,No,,Mujer,8,1
AV RICARDO FLORES MAGON,47,1,2,1,Ningún motivo,Sí,Estacionada,Hombre,7,4
MONTE DE LAS CRUCES,44,1,7,6,Lesión o incapacidad,No,,Hombre,5,4
MONTE DE LAS CRUCES,15,1,7,6,Lesión o incapacidad,No,,Hombre,5,4
DIVISION DEL NORTE,68,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,3,3
AV. CANAL DE MIRAMONTES,32,1,2,1,Inseguridad,No,,Hombre,5,9
SAN GUILLERMO,46,1,2,8,Lesión o incapacidad,No,,Hombre,4,3
SAN GUILLERMO,58,2,1,2,Lesión o incapacidad,Sí,En movimiento,Hombre,3,3
SANTA ANA,27,1,2,1,Cambio de trabajo,Sí,Estacionada,Hombre,4,2
REY NEZAHUALCOYOTL,43,2,2,1,Fala mecánica de bici,No,,Hombre,4,2
ANTONIO DELFIN MADRIGAL,16,1,4,4,Clima,No,,Hombre,4,9
JUVENTINO ROSAS,50,7,1,2,Lesión o incapacidad,Sí,Estacionada,Hombre,4,4
JOSE SOTERO CASTAÑEDA,20,2,1,2,Ningún motivo,No,,Hombre,4,1
LERDO,35,1,2,1,Inseguridad,Sí,Estacionada,Hombre,5,2
MOSQUETA,58,7,1,2,Inseguridad,Sí,Estacionada,Hombre,5,6
MOSQUETA,61,2,2,8,Cambio de trabajo,Sí,Estacionada,Hombre,3,3
MOSQUETA,13,3,1,2,Ningún motivo,No,,Hombre,4,9
20 DE NOVIEMBRE,37,2,7,4,Ningún motivo,Sí,Estacionada,Hombre,8,9
20 DE NOVIEMBRE,31,1,7,4,Ningún motivo,No,,Mujer,8,9
MANUEL MARIA CONTRERAS,42,2,7,8,Ningún motivo,No,,Hombre,4,3
BUCARELI,26,2,4,4,Ningún motivo,Sí,Estacionada,Hombre,5,3
MANUEL MARIA CONTRERAS,26,6,2,1,Clima,No,,Hombre,4,4
PONIENTE 134,24,1,3,3,Ningún motivo,Sí,Estacionada,Hombre,8,4
PONIENTE 134,56,2,7,8,Fala mecánica de bici,No,,Hombre,5,2
ACUEDUCTO DE GUADALUPE,19,1,5,10,Lesión o incapacidad,No,,Mujer,5,3
ACUEDUCTO DE GUADALUPE,50,4,1,2,Recorrido muy largo,Sí,Estacionada,Hombre,5,4
LAZARO CARDENAS,14,1,7,6,Llevar prisa,No,,Hombre,4,4
LEON DE LOS ALDAMA,34,1,2,1,Lesión o incapacidad,No,,Mujer,5,3
MIGUEL LERDO DE TEJADA,33,2,2,8,Ningún motivo,No,,Hombre,3,3
LAZARO CARDENAS,24,1,6,7,Inseguridad,Sí,Estacionada,Hombre,5,1
ACUEDUCTO DE GUADALUPE,48,2,1,2,Ningún motivo,No,,Hombre,4,3
RIO BAMBA,20,4,1,5,Clima,Sí,Estacionada,Hombre,5,3
LAZARO CARDENAS,29,2,7,4,Recorrido muy largo,No,,Hombre,4,2
REFORMA,23,2,1,2,Clima,No,,Hombre,8,4
REFORMA,29,2,4,8,Ningún motivo,No,,Hombre,5,4
REFORMA,26,2,1,2,Ningún motivo,No,,Hombre,8,6
CALZADA SAN JUAN DE ARAGON,26,2,4,8,Inseguridad,No,,Hombre,7,4
EMILIANO ZAPATA,73,7,7,6,Lesión o incapacidad,Sí,Estacionada,Hombre,3,3
EMILIANO ZAPATA,63,2,4,4,Lesión o incapacidad,No,,Hombre,3,3
JAIME NUNO,27,2,4,4,Lesión o incapacidad,No,,Hombre,5,3
OTHON DE MENDIZABAL OTE,19,1,7,6,Ningún motivo,No,,Hombre,5,2
DR. IGNACIO MORONES PRIETO,22,4,1,4,Recorrido muy largo,No,,Mujer,6,4
EDUARDO MOLINA,55,1,4,4,Fala mecánica de bici,No,,Hombre,8,2
EDUARDO MOLINA,14,1,5,10,Clima,No,,Hombre,4,9
DR. IGNACIO MORONES PRIETO,36,1,2,10,Inseguridad,Sí,Estacionada,Hombre,5,3
LAZARO CARDENAS,34,2,4,4,Recorrido muy largo,Sí,Estacionada,Hombre,4,4
DR. IGNACIO MORONES PRIETO,51,4,2,5,Cambio de trabajo,No,,Hombre,5,2
DR. IGNACIO MORONES PRIETO,50,6,1,2,Cambio de trabajo,No,,Hombre,4,3
CALZADA SAN JUAN DE ARAGON,22,1,2,1,Clima,No,,Hombre,4,3
FERROCARRIL HIDALGO HIDALGO,43,1,5,10,Lesión o incapacidad,No,,Hombre,7,3
CALZADA SAN JUAN DE ARAGON,56,2,1,2,Fala mecánica de bici,No,,Hombre,5,3
JOSE LORETO FABELA,45,1,2,1,Lesión o incapacidad,Sí,Estacionada,Hombre,3,9
CALZADA,24,1,4,4,Lesión o incapacidad,No,,Hombre,8,9
